297,258,4262,4347,4808,183,8333
298,263,4266,4350,4805,184,8337
299,264,4270,4353,4799,184,8343
300,262,4273,4359,4795,185,8348
301,258,4277,4365,4791,185,8352
302,261,4283,4367,4783,186,8361
303,261,4284,4373,4782,186,8362
304,256,4286,4379,4779,188,8367
305,256,4288,4382,4778,189,8369
306,253,4296,4387,4769,189,8378
307,255,4296,4393,4770,190,8378
308,249,4302,4399,4764,192,8386
309,251,4303,4402,4761,192,8389
310,244,4307,4411,4755,192,8395
311,244,4307,4416,4755,192,8395
312,236,4312,4424,4750,193,8401
313,239,4315,4427,4746,193,8405
314,236,4322,4432,4736,193,8415
315,243,4325,4433,4732,193,8419
316,243,4332,4437,4725,194,8427
317,246,4336,4439,4721,195,8432
318,248,4341,4443,4716,196,8438
319,243,4346,4453,4709,197,8446
320,245,4348,4455,4706,197,8449
321,246,4350,4457,4702,198,8454
322,241,4353,4464,4698,198,8458
323,240,4354,4468,4697,198,8459
324,231,4356,4478,4693,199,8464
325,229,4363,4482,4685,200,8473
326,231,4367,4487,4681,200,8477
327,230,4372,4492,4675,200,8483
328,232,4376,4495,4670,200,8488
329,233,4376,4497,4670,201,8489
330,231,4380,4499,4666,201,8493
331,233,4387,4501,4659,202,8501
332,237,4387,4504,4658,202,8502
333,234,4390,4508,4653,202,8507
334,236,4390,4509,4652,202,8508
335,234,4393,4511,4649,203,8512
336,235,4396,4513,4644,204,8518
337,235,4399,4516,4642,205,8521
338,235,4404,4518,4635,205,8527
339,240,4405,4519,4635,205,8528
340,238,4409,4522,4629,205,8534
341,239,4412,4525,4624,205,8539
342,240,4416,4526,4619,205,8544
343,242,4418,4529,4616,205,8547
344,241,4420,4532,4615,206,8549
345,241,4421,4534,4616,208,8550
346,241,4421,4535,4616,209,8551
347,240,4428,4536,4609,210,8559
348,241,4428,4541,4609,210,8559
349,239,4431,4544,4607,212,8563
350,239,4436,4547,4600,213,8571
351,242,4437,4549,4596,213,8575
352,239,4438,4553,4592,213,8579
353,240,4439,4553,4592,214,8580
354,237,4443,4557,4589,215,8584
355,238,4447,4559,4585,216,8589
356,240,4452,4562,4581,217,8594
357,241,4455,4565,4578,217,8597
358,241,4458,4568,4576,218,8600
359,236,4462,4577,4573,219,8604
360,238,4464,4579,4569,219,8608
361,238,4466,4581,4570,222,8610
362,235,4472,4586,4563,223,8618
363,239,4476,4587,4558,223,8623
364,239,4479,4592,4555,223,8626
365,238,4484,4596,4550,223,8631
366,242,4490,4597,4543,224,8639
367,241,4495,4604,4537,224,8645
368,244,4499,4606,4532,224,8650
369,243,4501,4611,4531,225,8652
370,243,4502,4613,4530,225,8653
371,242,4506,4616,4525,225,8658
372,242,4508,4620,4523,225,8660
373,237,4509,4627,4523,226,8661
374,233,4514,4632,4518,226,8666
375,235,4514,4635,4520,228,8666
376,230,4518,4640,4516,229,8671
377,228,4520,4646,4513,230,8675
378,226,4522,4650,4513,232,8677
379,224,4527,4654,4509,233,8682
380,225,4532,4658,4504,233,8687
381,228,4536,4660,4501,234,8691
382,231,4536,4661,4501,234,8691
383,229,4539,4663,4499,235,8694
384,229,4545,4666,4493,235,8700
385,229,4547,4671,4489,235,8703
386,228,4548,4675,4490,236,8704
387,227,4555,4677,4483,236,8711
388,228,4565,4682,4473,237,8722
389,238,4572,4683,4465,237,8730
390,238,4575,4690,4462,237,8733
391,236,4582,4695,4454,238,8742
392,239,4585,4699,4451,238,8745
393,238,4585,4703,4451,239,8746
394,233,4585,4708,4450,239,8747
395,229,4589,4712,4447,240,8751
396,231,4592,4714,4444,241,8755
397,225,4600,4723,4436,241,8763
398,229,4602,4727,4433,241,8766
399,228,4607,4730,4428,241,8771
400,232,4609,4730,4426,241,8773
401,233,4613,4732,4422,241,8777
402,232,4616,4737,4421,243,8780
403,229,4619,4742,4417,243,8784
404,230,4622,4745,4413,243,8788
405,232,4623,4746,4413,244,8789
406,225,4625,4754,4410,244,8792
407,224,4631,4757,4404,244,8798
408,227,4634,4760,4402,245,8801
409,226,4639,4763,4396,245,8807
410,230,4641,4765,4394,245,8809
411,228,4649,4769,4386,245,8817
412,233,4652,4772,4382,245,8821
413,229,4654,4779,4380,245,8823
414,226,4657,4784,4377,245,8826
415,227,4664,4786,4370,245,8833
416,229,4672,4790,4362,245,8841
417,231,4677,4797,4358,247,8846
418,235,4680,4798,4356,247,8849
419,235,4681,4801,4355,247,8850
420,229,4683,4808,4355,249,8852
421,224,4685,4815,4353,249,8854
422,222,4692,4819,4345,249,8862
423,223,4692,4825,4344,249,8863
424,220,4695,4830,4340,249,8867
425,222,4697,4831,4339,250,8869
426,223,4697,4832,4338,250,8870
427,218,4701,4837,4336,252,8874
428,219,4704,4840,4334,253,8877
429,220,4707,4842,4331,254,8881
430,219,4715,4846,4325,256,8889
431,224,4717,4848,4323,256,8891
432,225,4719,4850,4320,256,8894
433,224,4722,4853,4317,256,8897
434,224,4727,4856,4311,256,8903
435,226,4728,4859,4311,257,8904
436,227,4730,4859,4309,257,8906
437,223,4733,4864,4307,258,8909
438,225,4735,4865,4305,258,8911
439,227,4737,4866,4303,258,8913
440,225,4740,4871,4300,258,8916
441,225,4740,4874,4300,258,8916
442,221,4742,4878,4299,259,8918
443,220,4744,4881,4298,260,8920
444,218,4749,4885,4292,260,8926
445,222,4752,4886,4290,261,8929
446,223,4755,4888,4288,262,8932
447,221,4759,4894,4285,264,8937
448,225,4761,4894,4282,264,8940
449,226,4762,4895,4281,264,8941
450,225,4765,4897,4279,265,8944
451,225,4766,4900,4278,265,8945
452,222,4769,4904,4277,267,8948
453,223,4771,4906,4276,268,8950
454,221,4774,4910,4273,268,8953
455,219,4777,4915,4270,269,8957
456,221,4780,4916,4266,269,8961
457,223,4786,4917,4260,269,8967
458,228,4792,4918,4253,269,8974
459,229,4795,4922,4250,269,8977
